,172.18.188.249,172.20.0.1,185.71.170.73,193.142.188.164,185.239.65.234,45.153.82.2,94.103.180.2,94.103.180.3,94.103.180.71,94.103.180.39,194.68.123.71,213.239.252.73,213.239.254.69,213.239.228.14,213.239.228.62,65.108.117.172,65.108.94.222,193.142.188.4,193.178.185.34,184.104.194.238,103.16.103.48,5.223.0.86,5.223.8.141,5.223.62.210,213.248.99.52,62.115.112.156,62.115.137.40,62.115.137.214,62.115.139.244,62.115.115.76,62.115.139.107,62.115.115.25,62.115.112.45,80.239.132.87,5.78.0.74,5.78.8.250,5.78.98.32
172.18.188.249,,0.8715,0.93,4.865999999999997,4.865999999999997,4.865999999999997,7.3329999999999975,12.160499999999997,12.160499999999997,12.160499999999997,15.554499999999999,16.104,17.788499999999996,17.788499999999996,17.788499999999996,18.779,31.704,11.76,12.731,23.3485,171.65050000000002,171.65050000000002,171.69299999999998,171.69299999999998,21.740499999999997,21.740499999999997,21.740499999999997,34.8385,104.04249999999999,142.6855,167.702,176.544,176.544,176.544,176.544,182.41750000000002,183.3555
172.20.0.1,,,0.05849999999999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.71.170.73,,,,2.5874999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.142.188.164,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185.239.65.234,,,,,,0.0,,,,,,,,,,,,0.29499999999999993,,,,,,,,,,,,,,,,,,,
45.153.82.2,,,,,,,2.4670000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.103.180.2,,,,,,,,0.0,,,,,,,,,,,,,,,,,10.055000000000001,,,,,,,,,,,,
94.103.180.3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.103.180.71,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
94.103.180.39,,,,,,,,,,,3.394000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,
194.68.123.71,,,,,,,,,,,,0.5494999999999983,,,,,,,,,,,,,,,,,,,,,,,,,
213.239.252.73,,,,,,,,,,,,,1.684499999999998,,,,,,,,,,,,,,,,,,,,,,,,
213.239.254.69,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
213.239.228.14,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
213.239.228.62,,,,,,,,,,,,,,,,0.9905000000000044,,,,,,,,,,,,,,,,,,,,,
65.108.117.172,,,,,,,,,,,,,,,,,12.925,,,,,,,,,,,,,,,,,,,,
65.108.94.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193.142.188.4,,,,,,,,,,,,,,,,,,,0.9710000000000001,,,,,,,,,,,,,,,,,,
193.178.185.34,,,,,,,,,,,,,,,,,,,,10.6175,,,,,,,,,,,,,,,,,
184.104.194.238,,,,,,,,,,,,,,,,,,,,,148.30200000000002,,,,,,,,,,,,,,,,
103.16.103.48,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
5.223.0.86,,,,,,,,,,,,,,,,,,,,,,,0.04249999999998975,,,,,,,,,,,,,,
5.223.8.141,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
5.223.62.210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213.248.99.52,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
62.115.112.156,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
62.115.137.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.097999999999999,,,,,,,,,
62.115.137.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.20400000000001,,,,,,,,
62.115.139.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.64300000000001,,,,,,,
62.115.115.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.016499999999994,,,,,,
62.115.139.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.842000000000013,,,,,
62.115.115.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
62.115.112.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
80.239.132.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
5.78.0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.873500000000007,
5.78.8.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9379999999999882
5.78.98.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
